COL_000;COL_001;COL_002;COL_003;Lubricant;COL_005;Observation Type;Observation Date;COL_008;Meter Reading;All Time Meter Reading;Component Age;Observation Interval;days;Observation Rating;Trakka Rating;Lube Age;Live;Lube Drained;Added;Assigned Condition Rating;Condition Review Notes;Further Recommendations;Fault Effect;Reviewed;COL_025;Action Summary;Boro (ppm);Calcio (ppm);Cinc (ppm);Fosforado (ppm);Magnesio (ppm);Molibdeno (ppm);SILICATOS (ppm);Agua (%);Dilución por combustible (%);Hollín JOAP (Abs/cm);Nitración JOAP (Abs/cm);Oxidación JOAP (Abs/cm);Silicio (ppm);Sodio (ppm);Sulfatación JOAP (Abs/cm);Viscosidad @ 100°C (cSt);ISO 4406:1999 > 04µ;ISO 4406:1999 > 06µ;ISO 4406:1999 > 14µ;Aluminio (ppm);Bario (ppm);Cadmio (ppm);Cobre (ppm);Cromo (ppm);Estaño (ppm);Hierro (ppm);Niquel (ppm);Partículas Ferrosas (ppm);Plomo (ppm);Color del Refrigerante;Glycerin (%);Nitrito (ppm);PUNTO DE EBULLICION (°C);Sólidos Totales Disueltos (ppm);Turbidez (NTU);pH;Titanio (ppm);Vanadio (ppm)
COM_0001;ASS_0001;LOC_0001;COM_0001;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0001;Fluid Analysis;26/01/2025 0:00;OBS_0001;30883,99;52241,34;14278,71;395,1;17;Normal;Warning;;14278,71;No;0;Unrated;;;No Fault Identified;;;;103,76;1659;;;365,99;69,08;;0;0;6;5;16;3,53;4,39;20;15311;;;;0,83;;;0,18;0,29;;3,49;;;0,42;;;;;;;;;
COM_0002;ASS_0002;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0002;Fluid Analysis;26/01/2025 0:00;OBS_0002;6513,49;6513,49;6513,49;132,7;7;Normal;Normal;;6513,49;No;0;Normal;Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ;;No Fault Identified;27/01/2025 20:23;REV_0001;;111,67;1691;;;376,8;70,01;;0;0;5;5;16;4,04;4,14;20;14922;;;;0,64;;;0,1;0,16;0;2,84;;0;0,09;;;;;;;;;
COM_0003;ASS_0003;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0003;Fluid Analysis;25/01/2025 0:00;OBS_0003;67723;69637,19;19270,08;99,3;6;Normal;Normal;;19270,08;No;0;Normal;Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ;;No Fault Identified;27/01/2025 20:23;REV_0001;;90,69;1712;;;362,75;68,89;;0;0;8;6;17;4,91;3,23;20;15085;;;;0,39;;;0,35;0,05;0;2,55;;0;0,17;;;;;;;;;
COM_0004;ASS_0004;LOC_0001;COM_0003;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0004;Fluid Analysis;25/01/2025 0:00;OBS_0004;1925,9;1925,9;1925,9;92,1;5;Normal;Warning;;1925,9;No;0;Unrated;;;No Fault Identified;;;;89,37;1731;1565;1388;360,57;68,28;;0;0;9;6;16;3,81;3,73;20;14351;;;;0,47;;;0,39;0,16;0;8,2;;;0,91;;;;;;;;;
COM_0005;ASS_0004;LOC_0001;COM_0003;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0005;Fluid Analysis;25/01/2025 0:00;OBS_0005;1925,9;1925,9;1925,9;92,1;5;Normal;Warning;;1925,9;No;0;Unrated;;;Fuel Entry;;;;92,98;1688;1447;1387;351,38;62,68;;0;0;10;5;15;3,54;3,7;19;14,05;;;;0,63;;;0,46;0,21;0;5,91;;;1,08;;;;;;;;;
COM_0006;ASS_0005;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0006;Fluid Analysis;24/01/2025 0:00;OBS_0006;64709,85;64709,85;64709,85;114,1;6;Normal;Normal;;64709,85;No;0;Normal;Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ;;No Fault Identified;26/01/2025 20:23;REV_0001;;95,43;1718;;;357,64;68,65;;0;0;7;5;15;3,82;3,21;20;14858;;;;0,52;;;0,38;0,07;0;3,12;;2;0,65;;;;;;;;;
COM_0007;ASS_0006;LOC_0001;COM_0001;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0007;Fluid Analysis;24/01/2025 0:00;OBS_0007;40224,2;41075,1;29,9;129,6;10;Normal;Critical;;29,9;No;0;Unrated;;;Dust Entry;;;;127,56;1676;;;365,02;66,8;;0;0;3;4;14;12,57;4,89;18;15256;;;;1,03;;;11,88;0,11;;5,86;;;1,51;;;;;;;;;
COM_0008;ASS_0007;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0008;Fluid Analysis;23/01/2025 0:00;OBS_0008;62915,2;62915,2;62915,2;253,4;17;Normal;Normal;;62915,2;No;0;Normal;Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ;;No Fault Identified;24/01/2025 20:25;REV_0001;;117,17;1610;;;343,31;70,61;;0;0;4;4;14;5,27;3,6;19;14993;;;;0,79;;;0,15;0,01;0;1,86;;4;0,57;;;;;;;;;
COM_0009;ASS_0008;LOC_0001;COM_0001;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0009;Fluid Analysis;23/01/2025 0:00;OBS_0009;39626,92;39632,92;10283,42;328,8;14;Normal;Warning;;10283,42;No;0;Unrated;;;Fluid Condition Deteriorating;;;;93,71;1835;;;398,07;73,34;;0;0;9;7;19;4,65;5,27;23;15627;;;;1,22;;;0,2;0,39;;4,85;;;0,5;;;;;;;;;
COM_0010;ASS_0009;LOC_0001;COM_0001;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0010;Fluid Analysis;23/01/2025 0:00;OBS_0010;39157,54;39157,54;20982,72;350,6;20;Normal;Normal;;20982,72;No;0;Normal;Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ;;No Fault Identified;24/01/2025 20:25;REV_0001;;113,43;1622;;;338,57;68,19;;0;0;4;4;14;4,81;4,27;19;15106;;;;1,04;;;0,16;0,17;;2,35;;;0,24;;;;;;;;;
COM_0011;ASS_0010;LOC_0001;COM_0001;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0011;Fluid Analysis;23/01/2025 0:00;OBS_0011;26636,25;26636,25;26636,25;123,4;6;Normal;Warning;;26636,25;No;0;Unrated;;;No Fault Identified;;;;87,98;1707;;;368,16;67,56;;0;0;6;6;17;4,37;4,02;21;15,48;;;;0,97;;;0,21;0,4;;4,03;;;0,21;;;;;;;;;
COM_0012;ASS_0011;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0012;Fluid Analysis;22/01/2025 0:00;OBS_0012;30429,87;30602,85;50,1;31,9;2;Normal;Warning;;50,1;No;0;Normal;Motor nuevo, en asentamiento y posible pasivacion. Seguir monitoreando de cerca.;;No Fault Identified;27/01/2025 19:11;REV_0002;;118,67;1710;;;334,8;67,11;;0;0;3;4;14;7,84;3,95;19;15268;;;;1,14;;;2,42;0,16;0;3,49;;0;0,68;;;;;;;;;
COM_0013;ASS_0012;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0013;Fluid Analysis;21/01/2025 0:00;OBS_0013;62868,04;63229,44;8126,88;19,9;1;Normal;Normal;;8126,88;No;0;Normal;Todos los predictores en rango normal, seguir monitoreando de cerca.;;No Fault Identified;27/01/2025 19:01;REV_0002;;88,44;1730;;;370,2;66,66;;;;;;;4,5;4,3;;15107;;;;1,37;;;0,34;0,04;0;3,92;;0;0;;;;;;;;;
COM_0013;ASS_0012;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0013;Fluid Analysis;20/01/2025 0:00;OBS_0014;62848,14;63209,54;8106,98;101,4;6;Normal;Warning;;8106,98;No;0;Normal;Todos los predicotores en rango normal, seguir monitoreando de cerca.;;No Fault Identified;24/01/2025 10:40;REV_0002;;87,92;1761;;;350,63;63,29;;0;0;11;6;16;5,04;5,87;20;15,15;;;;1,34;;;0,33;0,06;0;4,17;;1;0,43;;;;;;;;;
COM_0012;ASS_0011;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0012;Fluid Analysis;20/01/2025 0:00;OBS_0015;30397,97;30570,95;18,2;18,2;14;Normal;Warning;;18,2;No;0;Warning;Predictor de cobre esta en advertencia, tomar contra muestra para corroborar tendencia.;;High Wear Metals;27/01/2025 18:47;REV_0002;Action: Tomar muestra de aceite (Priority: 1 - Acción dentro de la Parada Actual Programada (Máxi)  Status: Recommended      ;123,9;1730;;;338,48;66,45;;0;0;2;4;14;7,95;3,81;19;15357;;;;1,33;;;2,31;0,05;0;3,03;;0;0,36;;;;;;;;;
COM_0014;ASS_0013;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0014;Fluid Analysis;20/01/2025 0:00;OBS_0016;2374,5;2374,5;2374,5;95,1;5;Normal;Normal;;2374,5;No;0;Normal;Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ;;No Fault Identified;22/01/2025 20:25;REV_0001;;116,22;1647;;;354,4;67,32;;0;0;3;4;15;4,62;5,04;19;15077;;;;1,19;;;0,16;0;0;1,9;;;0;;;;;;;;;
COM_0004;ASS_0004;LOC_0001;COM_0003;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0004;Fluid Analysis;20/01/2025 0:00;OBS_0017;1833,8;1833,8;1833,8;392,1;25;Normal;Critical;;1833,8;No;0;Normal;seguir operando ;;No Fault Identified;23/01/2025 14:12;REV_0003;;6,61;1697;1607;1509;373,19;77,22;;0;0;0;5;15;3,25;3,66;20;14459;;;;1,04;;;0,35;0;0;6,37;;;0,38;;;;;;;;;
COM_0005;ASS_0004;LOC_0001;COM_0003;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0005;Fluid Analysis;20/01/2025 0:00;OBS_0018;1833,8;1833,8;1833,8;392,1;25;Normal;Critical;;1833,8;No;0;Normal;seguir operando ;;No Fault Identified;23/01/2025 14:12;REV_0003;;7,82;1862;1373;1181;337,08;54,89;;0;0;0;5;15;2,41;2,68;19;14175;;;;0,81;;;0,21;0,1;0,15;3,77;;;0,56;;;;;;;;;
COM_0003;ASS_0003;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0003;Fluid Analysis;19/01/2025 0:00;OBS_0019;67623,7;69537,89;19170,78;536,9;36;Normal;Warning;;19170,78;No;0;Normal;Todos los predictores en rango normal, seguir monitoreando de cerca.;;No Fault Identified;27/01/2025 18:12;REV_0002;;101,92;1756;;;363,05;65,7;;0;0;5;4;11;4,52;3,44;15;15272;;;;0,56;;;0,22;0,15;0;2,06;;0;0;;;;;;;;;
COM_0015;ASS_0014;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0015;Fluid Analysis;19/01/2025 0:00;OBS_0020;26585,37;26646,47;10750,05;76,3;4;Normal;Warning;;10750,05;No;0;Normal;Todos los predictores en rango normal, seguir monitoreando de cerca.;;No Fault Identified;27/01/2025 19:01;REV_0002;;118,84;1628;;;348,62;68,32;;0;0;5;5;15;5,18;4,5;19;15348;;;;1,19;;;0,04;0,06;0;1,9;;0;0,13;;;;;;;;;
COM_0016;ASS_0015;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0016;Fluid Analysis;19/01/2025 0:00;OBS_0021;26384,6;26569,3;17798,82;340,4;25;Normal;Warning;;17798,82;No;0;Normal;Todos los predictores en rango normal, seguir monitoreando de cerca.;;No Fault Identified;27/01/2025 18:33;REV_0002;;120,66;1593;;;358,76;69,74;;0;0;4;5;15;5,28;3,07;19;15377;;;;0,94;;;0,18;0,04;0;1,68;;0;0,03;;;;;;;;;
COM_0017;ASS_0016;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0017;Fluid Analysis;19/01/2025 0:00;OBS_0022;2799;23178,55;23178,55;0;3;Normal;Normal;;23178,55;No;0;Normal;Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ;;No Fault Identified;21/01/2025 20:25;REV_0001;;93,19;1687;;;361,5;62,29;;0;0;8;6;16;3,13;3,54;20;14777;;;;0,77;;;0,28;0,13;0;3,05;;0;0;;;;;;;;;
COM_0002;ASS_0002;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0002;Fluid Analysis;19/01/2025 0:00;OBS_0023;6380,79;6380,79;6380,79;525,4;32;Normal;Warning;;6380,79;No;0;Normal;Todos los predictores en rango normal, seguir monitoreando de cerca.;;No Fault Identified;27/01/2025 19:01;REV_0002;;93,32;1809;;;389,87;73,48;;0;0;9;7;18;5,5;5,09;21;15253;;;;1,07;;;0,15;0,11;0;5,64;;0;0,09;;;;;;;;;
COM_0018;ASS_0017;LOC_0001;COM_0001;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0018;Fluid Analysis;18/01/2025 0:00;OBS_0024;38045,48;77730,11;1522,6;67,6;4;Normal;Normal;;1522,6;No;0;Normal;SEGUIR OPERANDO ;;No Fault Identified;23/01/2025 14:15;REV_0003;;96,83;1733;;;360,39;66,86;;0;0;6;4;14;3,07;2,68;19;14565;;;;0,8;;;0,31;0,06;;2,63;;;0;;;;;;;;;
COM_0019;ASS_0018;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0019;Fluid Analysis;18/01/2025 0:00;OBS_0025;66418,22;69665,49;6314,29;294,3;32;Normal;Warning;;6314,29;No;0;Normal;Todos los predictores en rango noremal, seguir monitoreando de cerca.;;No Fault Identified;22/01/2025 12:56;REV_0002;;99,16;1704;;;357,22;62,49;;0;0;4;4;14;6,24;2,73;19;15,5;;;;0,52;;;0,12;0,01;0,66;2,23;;5;0,12;;;;;;;;;
COM_0006;ASS_0005;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0006;Fluid Analysis;18/01/2025 0:00;OBS_0026;64595,75;64595,75;64595,75;202,1;14;Normal;Normal;;64595,75;No;0;Normal;Todos los predictores en rango noremal, seguir monitoreando de cerca.;;No Fault Identified;22/01/2025 12:56;REV_0002;;87,36;1780;;;349,44;62,54;;0;0;6;5;15;3,1;2,49;19;15195;;;;0,88;;;0,16;0,05;0,37;2,38;;0;0,27;;;;;;;;;
COM_0020;ASS_0019;LOC_0001;COM_0002;Terpel MAXTER PROGRESA 15W-40 API CI-4 PLUS;CON_0020;Fluid Analysis;18/01/2025 0:00;OBS_0027;1569,4;1807,4;1569,4;268,7;14;Normal;Normal;;1569,4;No;0;Normal;Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ;;No Fault Identified;20/01/2025 20:25;REV_0001;;85,37;1845;;;373,24;68,68;;0;0;6;5;16;2,44;2,88;20;15062;;;;0,74;;;0,17;0,04;1,21;2,76;;2;0;;;;;;;;;
