Component ID,Asset ID,Flota,Location,Component Profile,Lubricant,Connection Code,Observation Type,Observation Date,Observation Code,Meter Reading,All Time Meter Reading,Component Age,Observation Interval,days,Observation Rating,Rule Based Rating,Lube Age,Live,Lube Drained,Added,Assigned Condition Rating,Condition Review Notes,Further Recommendations,Fault Effect,Reviewed,Reviewer,Action Summary,Boro (ppm),Calcio (ppm),Cinc (ppm),Fosforado (ppm),Magnesio (ppm),Molibdeno (ppm),SILICATOS (ppm),Agua (%),Dilución por combustible (%),Hollín JOAP (Abs/cm),Nitración JOAP (Abs/cm),Oxidación JOAP (Abs/cm),Silicio (ppm),Sodio (ppm),Sulfatación JOAP (Abs/cm),Viscosidad @ 100°C (cSt),ISO 4406:1999 > 04µ,ISO 4406:1999 > 06µ,ISO 4406:1999 > 14µ,Aluminio (ppm),Bario (ppm),Cadmio (ppm),Cobre (ppm),Cromo (ppm),Estaño (ppm),Hierro (ppm),Niquel (ppm),Partículas Ferrosas (ppm),Plomo (ppm),Color del Refrigerante,Glycerin (%),Nitrito (ppm),PUNTO DE EBULLICION (°C),Sólidos Totales Disueltos (ppm),Turbidez (NTU),pH,Titanio (ppm),Vanadio (ppm)
Component_ID_54,Asset_ID_42,Flota_3,Location_1,Component_Profile_4,Lubricant_1,Connection_Code_63,Fluid Analysis,2025-01-26,Observation_Code_4112,30883.99,52241.34,14278.71,395.1,17.0,Normal,Warning,,14278.71,No,0,Unrated,,,No Fault Identified,,,,103.76,1659.0,,,365.99,69.08,,0.0,0.0,6.0,5.0,16.0,3.53,4.39,20.0,15.311,,,,0.83,,,0.18,0.29,,3.49,,,0.42,,,,,,,,,
Component_ID_42,Asset_ID_30,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_46,Fluid Analysis,2025-01-26,Observation_Code_3219,6513.49,6513.49,6513.49,132.7,7.0,Normal,Normal,,6513.49,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-27 20:23:15,Reviewer_10,,111.67,1691.0,,,376.8,70.01,,0.0,0.0,5.0,5.0,16.0,4.04,4.14,20.0,14.922,,,,0.64,,,0.1,0.16,0.0,2.84,,0.0,0.09,,,,,,,,,
Component_ID_28,Asset_ID_16,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_32,Fluid Analysis,2025-01-25,Observation_Code_2161,67723.0,69637.19,19270.08,99.3,6.0,Normal,Normal,,19270.08,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-27 20:23:15,Reviewer_10,,90.69,1712.0,,,362.75,68.89,,0.0,0.0,8.0,6.0,17.0,4.91,3.23,20.0,15.085,,,,0.39,,,0.35,0.05,0.0,2.55,,0.0,0.17,,,,,,,,,
Component_ID_19,Asset_ID_10,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_24,Fluid Analysis,2025-01-25,Observation_Code_1738,1925.9,1925.9,1925.9,92.1,5.0,Normal,Warning,,1925.9,No,0,Unrated,,,No Fault Identified,,,,89.37,1731.0,1565.0,1388.0,360.57,68.28,,0.0,0.0,9.0,6.0,16.0,3.81,3.73,20.0,14.351,,,,0.47,,,0.39,0.16,0.0,8.2,,,0.91,,,,,,,,,
Component_ID_20,Asset_ID_10,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_23,Fluid Analysis,2025-01-25,Observation_Code_1732,1925.9,1925.9,1925.9,92.1,5.0,Normal,Warning,,1925.9,No,0,Unrated,,,Fuel Entry,,,,92.98,1688.0,1447.0,1387.0,351.38,62.68,,0.0,0.0,10.0,5.0,15.0,3.54,3.7,19.0,14.05,,,,0.63,,,0.46,0.21,0.0,5.91,,,1.08,,,,,,,,,
Component_ID_40,Asset_ID_28,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_44,Fluid Analysis,2025-01-24,Observation_Code_3181,64709.85,64709.85,64709.85,114.1,6.0,Normal,Normal,,64709.85,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-26 20:23:12,Reviewer_10,,95.43,1718.0,,,357.64,68.65,,0.0,0.0,7.0,5.0,15.0,3.82,3.21,20.0,14.858,,,,0.52,,,0.38,0.07,0.0,3.12,,2.0,0.65,,,,,,,,,
Component_ID_53,Asset_ID_41,Flota_3,Location_1,Component_Profile_4,Lubricant_1,Connection_Code_61,Fluid Analysis,2025-01-24,Observation_Code_3992,40224.2,41075.1,29.9,129.6,10.0,Normal,Critical,,29.9,No,0,Unrated,,,Dust Entry,,,,127.56,1676.0,,,365.02,66.8,,0.0,0.0,3.0,4.0,14.0,12.57,4.89,18.0,15.256,,,,1.03,,,11.88,0.11,,5.86,,,1.51,,,,,,,,,
Component_ID_41,Asset_ID_29,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_45,Fluid Analysis,2025-01-23,Observation_Code_3198,62915.2,62915.2,62915.2,253.4,17.0,Normal,Normal,,62915.2,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-24 20:25:17,Reviewer_10,,117.17,1610.0,,,343.31,70.61,,0.0,0.0,4.0,4.0,14.0,5.27,3.6,19.0,14.993,,,,0.79,,,0.15,0.01,0.0,1.86,,4.0,0.57,,,,,,,,,
Component_ID_50,Asset_ID_38,Flota_3,Location_1,Component_Profile_4,Lubricant_1,Connection_Code_56,Fluid Analysis,2025-01-23,Observation_Code_3624,39626.92,39632.92,10283.42,328.8,14.0,Normal,Warning,,10283.42,No,0,Unrated,,,Fluid Condition Deteriorating,,,,93.71,1835.0,,,398.07,73.34,,0.0,0.0,9.0,7.0,19.0,4.65,5.27,23.0,15.627,,,,1.22,,,0.2,0.39,,4.85,,,0.5,,,,,,,,,
Component_ID_51,Asset_ID_39,Flota_3,Location_1,Component_Profile_4,Lubricant_1,Connection_Code_58,Fluid Analysis,2025-01-23,Observation_Code_3747,39157.54,39157.54,20982.72,350.6,20.0,Normal,Normal,,20982.72,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-24 20:25:17,Reviewer_10,,113.43,1622.0,,,338.57,68.19,,0.0,0.0,4.0,4.0,14.0,4.81,4.27,19.0,15.106,,,,1.04,,,0.16,0.17,,2.35,,,0.24,,,,,,,,,
Component_ID_55,Asset_ID_43,Flota_3,Location_1,Component_Profile_4,Lubricant_1,Connection_Code_64,Fluid Analysis,2025-01-23,Observation_Code_4214,26636.25,26636.25,26636.25,123.4,6.0,Normal,Warning,,26636.25,No,0,Unrated,,,No Fault Identified,,,,87.98,1707.0,,,368.16,67.56,,0.0,0.0,6.0,6.0,17.0,4.37,4.02,21.0,15.48,,,,0.97,,,0.21,0.4,,4.03,,,0.21,,,,,,,,,
Component_ID_32,Asset_ID_20,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_36,Fluid Analysis,2025-01-22,Observation_Code_2577,30429.87,30602.85,50.1,31.9,2.0,Normal,Warning,,50.1,No,0,Normal,"Motor nuevo, en asentamiento y posible pasivacion. Seguir monitoreando de cerca.",,No Fault Identified,2025-01-27 19:11:25,Reviewer_8,,118.67,1710.0,,,334.8,67.11,,0.0,0.0,3.0,4.0,14.0,7.84,3.95,19.0,15.268,,,,1.14,,,2.42,0.16,0.0,3.49,,0.0,0.68,,,,,,,,,
Component_ID_31,Asset_ID_19,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_35,Fluid Analysis,2025-01-21,Observation_Code_2465,62868.04,63229.44,8126.88,19.9,1.0,Normal,Normal,,8126.88,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-27 19:01:10,Reviewer_8,,88.44,1730.0,,,370.2,66.66,,,,,,,4.5,4.3,,15.107,,,,1.37,,,0.34,0.04,0.0,3.92,,0.0,0.0,,,,,,,,,
Component_ID_31,Asset_ID_19,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_35,Fluid Analysis,2025-01-20,Observation_Code_2464,62848.14,63209.54,8106.98,101.4,6.0,Normal,Warning,,8106.98,No,0,Normal,"Todos los predicotores en rango normal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-24 10:40:43,Reviewer_8,,87.92,1761.0,,,350.63,63.29,,0.0,0.0,11.0,6.0,16.0,5.04,5.87,20.0,15.15,,,,1.34,,,0.33,0.06,0.0,4.17,,1.0,0.43,,,,,,,,,
Component_ID_32,Asset_ID_20,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_36,Fluid Analysis,2025-01-20,Observation_Code_2576,30397.97,30570.95,18.2,18.2,14.0,Normal,Warning,,18.2,No,0,Warning,"Predictor de cobre esta en advertencia, tomar contra muestra para corroborar tendencia.",,High Wear Metals,2025-01-27 18:47:30,Reviewer_8,Action: Tomar muestra de aceite (Priority: 1 - Acción dentro de la Parada Actual Programada (Máxi)  Status: Recommended      ,123.9,1730.0,,,338.48,66.45,,0.0,0.0,2.0,4.0,14.0,7.95,3.81,19.0,15.357,,,,1.33,,,2.31,0.05,0.0,3.03,,0.0,0.36,,,,,,,,,
Component_ID_45,Asset_ID_33,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_50,Fluid Analysis,2025-01-20,Observation_Code_3265,2374.5,2374.5,2374.5,95.1,5.0,Normal,Normal,,2374.5,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-22 20:25:05,Reviewer_10,,116.22,1647.0,,,354.4,67.32,,0.0,0.0,3.0,4.0,15.0,4.62,5.04,19.0,15.077,,,,1.19,,,0.16,0.0,0.0,1.9,,,0.0,,,,,,,,,
Component_ID_19,Asset_ID_10,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_24,Fluid Analysis,2025-01-20,Observation_Code_1737,1833.8,1833.8,1833.8,392.1,25.0,Normal,Critical,,1833.8,No,0,Normal,seguir operando ,,No Fault Identified,2025-01-23 14:12:14,Reviewer_1,,6.61,1697.0,1607.0,1509.0,373.19,77.22,,0.0,0.0,0.0,5.0,15.0,3.25,3.66,20.0,14.459,,,,1.04,,,0.35,0.0,0.0,6.37,,,0.38,,,,,,,,,
Component_ID_20,Asset_ID_10,Flota_1,Location_1,Component_Profile_2,Lubricant_1,Connection_Code_23,Fluid Analysis,2025-01-20,Observation_Code_1731,1833.8,1833.8,1833.8,392.1,25.0,Normal,Critical,,1833.8,No,0,Normal,seguir operando ,,No Fault Identified,2025-01-23 14:12:14,Reviewer_1,,7.82,1862.0,1373.0,1181.0,337.08,54.89,,0.0,0.0,0.0,5.0,15.0,2.41,2.68,19.0,14.175,,,,0.81,,,0.21,0.1,0.15,3.77,,,0.56,,,,,,,,,
Component_ID_28,Asset_ID_16,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_32,Fluid Analysis,2025-01-19,Observation_Code_2160,67623.7,69537.89,19170.78,536.9,36.0,Normal,Warning,,19170.78,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-27 18:12:08,Reviewer_8,,101.92,1756.0,,,363.05,65.7,,0.0,0.0,5.0,4.0,11.0,4.52,3.44,15.0,15.272,,,,0.56,,,0.22,0.15,0.0,2.06,,0.0,0.0,,,,,,,,,
Component_ID_33,Asset_ID_21,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_37,Fluid Analysis,2025-01-19,Observation_Code_2682,26585.37,26646.47,10750.05,76.3,4.0,Normal,Warning,,10750.05,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-27 19:01:10,Reviewer_8,,118.84,1628.0,,,348.62,68.32,,0.0,0.0,5.0,5.0,15.0,5.18,4.5,19.0,15.348,,,,1.19,,,0.04,0.06,0.0,1.9,,0.0,0.13,,,,,,,,,
Component_ID_34,Asset_ID_22,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_38,Fluid Analysis,2025-01-19,Observation_Code_2786,26384.6,26569.3,17798.82,340.4,25.0,Normal,Warning,,17798.82,No,0,Normal,"Todos los predictores en rango normal, seguir monitoreando de cerca.",,No Fault Identified,2025-01-27 18:33:58,Reviewer_8,,120.66,1593.0,,,358.76,69.74,,0.0,0.0,4.0,5.0,15.0,5.28,3.07,19.0,15.377,,,,0.94,,,0.18,0.04,0.0,1.68,,0.0,0.03,,,,,,,,,
Component_ID_43,Asset_ID_31,Flota_2,Location_1,Component_Profile_1,Lubricant_1,Connection_Code_49,Fluid Analysis,2025-01-19,Observation_Code_3256,2799.0,23178.55,23178.55,0.0,3.0,Normal,Normal,,23178.55,No,0,Normal,"Todos los predictores permanecen dentro de los límites aceptables, continúe monitoreando de cerca.  ",,No Fault Identified,2025-01-21 20:25:07,Reviewer_10,,93.19,1687.0,,,361.5,62.29,,0.0,0.0,8.0,6.0,16.0,3.13,3.54,20.0,14.777,,,,0.77,,,0.28,0.13,0.0,3.05,,0.0,0.0,,,,,,,,,
